Iterations,boostFactor,costPerPayRequest,executionTime,feePerByte,numFallbackSolns,numKnapsackSolns,numLeverageSolns,numPayRequestsPerTX,numPayRequestsProcessed,numUTXOsUsed,oneBTC,totalCost
5,0.52,4.327961721999996,2.5734195709228516,400,3,2,0,2,10,5,8582,43.279617219999956
5,0.52,4.237552439999993,3.108149766921997,400,2,3,0,2,10,5,8582,42.37552439999993
5,0.52,4.234500773999997,2.7157254219055176,400,2,3,0,2,10,5,8582,42.34500773999997
5,0.52,4.266893247999997,2.5297341346740723,400,2,3,0,2,10,5,8582,42.668932479999974
5,0.52,4.46264,2.5113720893859863,400,5,0,0,2,10,5,8582,44.626400000000004
5,0.52,4.253161841999992,2.735593795776367,400,1,4,0,2,10,5,8582,42.53161841999992
5,0.52,4.028947157999996,2.7255983352661133,400,0,5,0,2,10,5,8582,40.289471579999955
5,0.21999999999999997,9.787562043999985,2.7770540714263916,900,3,2,0,2,10,5,8582,97.87562043999985
5,0.21999999999999997,9.316146994000006,3.1968629360198975,900,0,5,0,2,10,5,8582,93.16146994000006
5,0.21999999999999997,9.119801842000001,3.1091010570526123,900,1,4,0,2,10,5,8582,91.19801842000001
5,0.21999999999999997,9.550250627999999,2.7795398235321045,900,3,2,0,2,10,5,8582,95.50250627999999
5,0.21999999999999997,9.404131485999995,3.069594621658325,900,2,3,0,2,10,5,8582,94.04131485999996
5,0.21999999999999997,9.179894247999995,2.8789117336273193,900,1,4,0,2,10,5,8582,91.79894247999995
5,0.21999999999999997,8.973714399999995,2.8953685760498047,900,0,5,0,2,10,5,8582,89.73714399999996
5,0.21999999999999997,9.106538761999996,2.830329656600952,900,0,5,0,2,10,5,8582,91.06538761999997
5,0.21999999999999997,9.199595533999993,2.7547507286071777,900,1,4,0,2,10,5,8582,91.99595533999994
5,0.21999999999999997,9.096369279999994,2.696347951889038,900,0,5,0,2,10,5,8582,90.96369279999995
5,0.96,0.18502791999999998,2.6916391849517822,22,5,0,0,3,15,5,8582,2.7754187999999997
5,0.96,0.18502791999999998,3.017319917678833,22,5,0,0,3,15,5,8582,2.7754187999999997
5,0.96,0.18502791999999998,2.542186975479126,22,5,0,0,3,15,5,8582,2.7754187999999997
5,0.96,0.18491800399999783,2.629894256591797,22,4,1,0,3,15,5,8582,2.7737700599999675
5,0.96,0.18502791999999998,2.7307329177856445,22,5,0,0,3,15,5,8582,2.7754187999999997
5,0.96,0.18208019999999994,2.6524369716644287,22,4,1,0,3,15,5,8582,2.731202999999999
5,0.96,0.18502791999999998,2.8989548683166504,22,5,0,0,3,15,5,8582,2.7754187999999997
5,0.96,0.18502791999999998,3.1284046173095703,22,5,0,0,3,15,5,8582,2.7754187999999997
5,0.96,0.18502791999999998,2.9841983318328857,22,5,0,0,3,15,5,8582,2.7754187999999997
5,0.96,0.18502791999999998,2.5026702880859375,22,5,0,0,3,15,5,8582,2.7754187999999997
5,0.96,0.5046216,3.1527607440948486,60,5,0,0,3,15,5,8582,7.569324000000001
5,0.96,0.5046216,3.630073070526123,60,5,0,0,3,15,5,8582,7.569324000000001
5,0.96,0.5046216,2.937159776687622,60,5,0,0,3,15,5,8582,7.569324000000001
5,0.96,0.5046216,3.1005516052246094,60,5,0,0,3,15,5,8582,7.569324000000001
5,0.96,0.49605944799999935,3.697617292404175,60,4,1,0,3,15,5,8582,7.44089171999999
5,0.96,0.5046216,3.4826245307922363,60,5,0,0,3,15,5,8582,7.569324000000001
5,0.96,0.5046216,3.468244791030884,60,5,0,0,3,15,5,8582,7.569324000000001
