Iterations,boostFactor,costPerPayRequest,executionTime,feePerByte,numFallbackSolns,numKnapsackSolns,numLeverageSolns,numPayRequestsPerTX,numPayRequestsProcessed,numUTXOsUsed,oneBTC,totalCost
5,1.0,0.10012977828571326,34.337196350097656,22,3,0,2,10,70,5,8582,7.009084479999928
5,1.0,0.09942552733333272,49.61330819129944,22,4,0,1,10,60,5,8582,5.965531639999964
5,1.0,0.10044372800000001,46.20242929458618,22,5,0,0,10,50,5,8582,5.022186400000001
5,1.0,0.1001476705714244,26.45321798324585,22,3,0,2,10,70,5,8582,7.010336939999708
5,1.0,0.09880249399999937,24.80362582206726,22,2,0,3,10,80,5,8582,7.904199519999949
5,1.0,0.09989581866666683,45.75660729408264,22,4,0,1,10,60,5,8582,5.99374912000001
5,0.98,0.2703145782500006,32.33550691604614,60,2,0,3,10,80,5,8582,21.625166260000046
5,0.98,0.2719956290000024,21.83363175392151,60,4,0,1,10,60,5,8582,16.319737740000143
5,0.98,0.26949082666665425,19.34023642539978,60,1,0,4,10,90,5,8582,24.25417439999888
5,0.98,0.2717728839999983,21.70195198059082,60,4,0,1,10,60,5,8582,16.3063730399999
5,0.98,0.2725735660000075,23.358487367630005,60,4,0,1,10,60,5,8582,16.35441396000045
5,0.98,0.2729809117499943,24.372801780700684,60,2,0,3,10,80,5,8582,21.838472939999544
5,0.98,0.26907879022221337,21.929343938827515,60,1,0,4,10,90,5,8582,24.217091119999203
5,0.98,0.2684102628888876,13.53576111793518,60,1,0,4,10,90,5,8582,24.156923659999883
5,0.98,0.27286996324999324,20.223907947540283,60,2,0,3,10,80,5,8582,21.82959705999946
5,0.98,0.2715991673333324,16.905779600143433,60,3,1,1,10,60,5,8582,16.295950039999944
5,0.96,0.9065744764999918,16.005157709121704,200,2,0,3,10,80,5,8582,72.52595811999934
5,0.96,0.8904029524000039,10.7941255569458,200,0,0,5,10,100,5,8582,89.04029524000039
5,0.96,0.9001800985714226,11.15914797782898,200,3,0,2,10,70,5,8582,63.01260689999958
5,0.96,0.9014004762857157,11.782479286193848,200,3,0,2,10,70,5,8582,63.0980333400001
5,0.96,0.9028790871428487,10.101942539215088,200,3,0,2,10,70,5,8582,63.20153609999941
5,0.96,0.9013573632499913,20.274765014648438,200,2,0,3,10,80,5,8582,72.1085890599993
5,0.96,0.9045910666666633,9.289154052734375,200,4,0,1,10,60,5,8582,54.2754639999998
5,0.96,0.901078135749993,9.0118567943573,200,2,0,3,10,80,5,8582,72.08625085999944
5,0.96,0.8915758589999954,17.624889373779297,200,1,1,3,10,80,5,8582,71.32606871999963
5,0.96,0.8945671025714251,7.712402582168579,200,2,1,2,10,70,5,8582,62.61969717999976
5,0.86,1.8025117192499898,7.149877309799194,400,1,1,3,10,80,5,8582,144.2009375399992
5,0.86,1.8049107622499974,12.880868673324585,400,2,0,3,10,80,5,8582,144.3928609799998
5,0.86,1.7998954127499887,9.171698570251465,400,2,0,3,10,80,5,8582,143.99163301999909
5,0.86,1.8145497333333316,9.28941798210144,400,4,0,1,10,60,5,8582,108.87298399999989
5,0.86,1.8092869374285694,13.221933603286743,400,3,0,2,10,70,5,8582,126.65008561999986
5,0.86,1.8016823999999958,9.22252631187439,400,2,0,3,10,80,5,8582,144.13459199999966
5,0.86,1.8119362994285635,8.911387205123901,400,3,0,2,10,70,5,8582,126.83554095999945
5,0.86,1.7923162222499933,8.308951616287231,400,1,1,3,10,80,5,8582,143.38529777999946
5,0.86,1.8012142002857097,8.281059741973877,400,2,1,2,10,70,5,8582,126.08499401999967
5,0.86,1.811350184000003,9.431001424789429,400,3,0,2,10,70,5,8582,126.79451288000021
